nummer,adresse,plz,stadtteil,stadt,beschallungsradius,_last_update,_uuid,_dic_id
S083,Erkrather Straße 381,40231,Lierenfeld,Düsseldorf,900,2026-04-15,9edcca26-98ce-4d7e-a6fd-a607432aa56c,fwrsir
S084,Amalienstraße 9 ,40472,Rath,Düsseldorf,900,2026-04-15,3b3ee5d7-48ba-4330-8beb-831534d4c2ac,fwrsir
S085,Cloppenburger Weg 27,40468,Unterrath,Düsseldorf,800,2026-04-15,19ea8483-c7ab-4b09-8863-394d2aaee766,fwrsir
S086,Wrangelstraße 40,40470,Mörsenbroich,Düsseldorf,800,2026-04-15,2c21d4a0-12d2-4795-b448-1f9900b7fbca,fwrsir
S087,Ellerstraße 84,40227,Oberbilk,Düsseldorf,900,2026-04-15,9fdcaf67-3196-4c7e-a453-307f353fb07a,fwrsir
S088,Heerdter Sandberg 30,40549,Oberkassel,Düsseldorf,800,2026-04-15,eedd9931-054c-49a9-878d-29903c124ed6,fwrsir
S089,Luisenstraße 73,40215,Friedrichstadt,Düsseldorf,800,2026-04-15,6a790802-d0a3-4888-a9ef-090047cf35c5,fwrsir
S090,Rathelbeckstraße 284,40627,Unterbach,Düsseldorf,800,2026-04-15,a8770ca5-45de-4f4c-90ee-dacb0fa89b86,fwrsir
S091,Kalkumer Schloßallee 28,40489,Kaiserswerth,Düsseldorf,800,2026-04-15,498692af-5001-4a79-9732-0175f863e640,fwrsir
S092,Jean Paul Straße 3,40470,Rath,Düsseldorf,800,2026-04-15,f2daf742-a8c1-4267-92df-3c2779dd1c39,fwrsir
S094,Lürmannstraße 15,40235,Flingern Nord,Düsseldorf,900,2026-04-15,613c6fb2-e3bd-4942-962b-c878764610f3,fwrsir
S095,Heinsenstraße 21,40221,Hamm,Düsseldorf,800,2026-04-15,25d80be1-5be7-4fc0-8bda-0ef22f527f18,fwrsir
S096,Roßstraße 130,40476,Golzheim,Düsseldorf,800,2026-04-15,35104d01-3cff-4ea5-aedc-93ed4d5fad48,fwrsir
S097,Kronprinzenstraße 105a,40217,Unterbilk,Düsseldorf,800,2026-04-15,5e38f3de-7528-4f5b-9838-8c22fe0bff49,fwrsir
S098,Volmerswerther Straße 429,40221,Volmerswerth,Düsseldorf,800,2026-04-15,de086dba-3f8d-403b-9fbf-a341eebba931,fwrsir
S099,Niederrheinstraße 1,40474,Stockum,Düsseldorf,800,2026-04-15,fbec8b45-fd02-4200-b89b-8efdec6db66a,fwrsir
S100,Salierstraße 37,40545,Oberkassel,Düsseldorf,900,2026-04-15,d145fb15-e4ae-4a9f-a53d-6a070c94ebce,fwrsir
S101,An der Kämpe 35,40595,Garath,Düsseldorf,800,2026-04-15,dfb633e1-b75c-44ed-b53f-81f4fb4d4f54,fwrsir
S102,Dresdener Straße 31,40595,Hellerhof,Düsseldorf,900,2026-04-15,45e3449b-42b8-48b1-b33d-afa7b28e6231,fwrsir
